[[9, 9, 7], 0.050519497511777846]
[[10, 8, 7], 0.05043552516846365]
[[10, 9, 6], 0.05028828425154474]
[[10, 10, 5], 0.0500000000000022]
[[11, 7, 7], 0.05018816780630692]
[[11, 8, 6], 0.05011913275970745]
[[11, 9, 5], 0.049914639232953986]
[[11, 10, 4], 0.04958220608118721]
[[11, 11, 3], 0.049133388865160804]
[[12, 7, 6], 0.049790223932441986]
[[12, 8, 5], 0.049663514228554806]
[[12, 9, 4], 0.04941424342526427]
[[12, 10, 3], 0.049050297635570256]
[[12, 11, 2], 0.04858255639140146]
[[12, 12, 1], 0.04802394941561138]
[[13, 6, 6], 0.04931849700917515]
[[13, 7, 5], 0.049260455382190725]
[[13, 8, 4], 0.04908798266769931]
[[13, 9, 3], 0.04880590148695457]
[[13, 10, 2], 0.048421822247583776]
[[13, 11, 1], 0.04794556536794713]
[[14, 6, 5], 0.04872551415940219]
[[14, 7, 4], 0.048620760703692346]
[[14, 8, 3], 0.048413788907063146]
[[14, 9, 2], 0.04810950733785671]
[[14, 10, 1], 0.0477148901832197]
[[15, 5, 5], 0.048081761381878835]
[[15, 6, 4], 0.04803447918497881]
[[15, 7, 3], 0.04789361046713768]
[[15, 8, 2], 0.04766204033934574]
[[15, 9, 1], 0.04734441821251016]
[[16, 5, 4], 0.04735249929946595]
[[16, 6, 3], 0.0472679035983223]
[[16, 7, 2], 0.047100193742453486]
[[16, 8, 1], 0.046852276671463154]
[[17, 4, 4], 0.04659727911592169]
[[17, 5, 3], 0.04655935562263055]
[[17, 6, 2], 0.046446151002528684]
[[17, 7, 1], 0.046259346790512315]
[[18, 4, 3], 0.04578895772727371]
[[18, 5, 2], 0.045721270357981125]
[[18, 6, 1], 0.04558675557767925]
[[19, 3, 3], 0.04497504350231048]
[[19, 4, 2], 0.0449447395750238]
[[19, 5, 1], 0.04485415768550911]
[[20, 3, 2], 0.044132985349909906]
[[20, 4, 1], 0.04407881693229503]
[[21, 2, 2], 0.04329959168174775]
[[21, 3, 1], 0.043275292823375014]
[[22, 2, 1], 0.04245550393660413]
[[23, 1, 1], 0.04162898633399799]
[[9, 9, 8], 0.04865411756709652]
[[10, 8, 8], 0.048580758787632926]
[[10, 9, 7], 0.04851338718511625]
[[10, 10, 6], 0.04831404411244484]
[[11, 8, 7], 0.04836422885396268]
[[11, 9, 6], 0.04823817078671222]
[[11, 10, 5], 0.04799065934921065]
[[11, 11, 4], 0.04763035827877492]
[[12, 7, 7], 0.04807338559678227]
[[12, 8, 6], 0.0480145610331013]
[[12, 9, 5], 0.04784000539180603]
[[12, 10, 4], 0.0475552776774082]
[[12, 11, 3], 0.04716903168599972]
[[12, 12, 2], 0.04669222424242639]
[[13, 7, 6], 0.047654479507844086]
[[13, 8, 5], 0.04754668098615187]
[[13, 9, 4], 0.047334125213876754]
[[13, 10, 3], 0.04702264227665306]
[[13, 11, 2], 0.0466203848718309]
[[13, 12, 1], 0.04613721748188444]
[[14, 6, 6], 0.04717446472809069]
[[14, 7, 5], 0.047125135077273374]
[[14, 8, 4], 0.04697835540566279]
[[14, 9, 3], 0.04673767197645052]
[[14, 10, 2], 0.04640873231274487]
[[14, 11, 1], 0.04599892149247483]
[[15, 6, 5], 0.046593865802996064]
[[15, 7, 4], 0.04650469928674948]
