[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 3], [0, 0, 11]], array([ 1.3357626 ,  1.94394159,  4.05486052])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 1], [0, 0, 12]], array([ 1.77190549,  1.31327423,  3.67945801])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 2], [0, 0, 12]], array([ 1.33706283,  1.93251612,  2.70783349])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 1], [0, 0, 13]], array([ 1.33960268,  1.92458372,  1.35672253])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 0], [0, 0, 14]], array([  1.50003166,   1.5000581 ,  13.99869337])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 5], [0, 1, 5], [0, 0, 5]], array([ 2.32174718,  0.94274296,  8.51349359])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 4], [0, 1, 5], [0, 0, 6]], array([ 2.46085904,  0.92180398,  7.51992056])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 6], [0, 0, 6]], array([  9.74596199,   2.17202346, -14.64064615])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 4], [0, 1, 4], [0, 0, 7]], array([ 2.51341429,  0.90985093,  7.76648777])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 5], [0, 0, 7]], array([ 10.05258667,   2.25760711, -10.91985157])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 6], [0, 0, 7]], array([ 5.84389152,  1.95279631,  0.34097439])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 7], [0, 0, 7]], array([ 1.3439011 ,  2.00000031,  9.96824734])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 4], [0, 0, 8]], array([ 2.65419475,  0.89252219,  6.3322882 ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 5], [0, 0, 8]], array([ 1.52836733,  1.8471517 ,  8.54638961])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 6], [0, 0, 8]], array([ 1.37002077,  1.86000898,  9.94519649])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 7], [0, 0, 8]], array([ 1.33353572,  1.99272123,  9.35646379])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 3], [0, 0, 9]], array([ 0.90179407,  2.83133766,  6.79622213])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 4], [0, 0, 9]], array([ 0.89102434,  2.99851249,  4.99773338])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 5], [0, 0, 9]], array([ 1.40367667,  1.72661344,  9.16787919])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 6], [0, 0, 9]], array([ 1.33396102,  1.97874382,  8.05272245])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 3], [0, 0, 10]], array([ 2.81342323,  0.87770645,  4.60517431])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 4], [0, 0, 10]], array([ 1.44498332,  1.61447748,  7.94990804])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 5], [0, 0, 10]], array([ 1.3344398 ,  1.96552996,  6.73167338])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 2], [0, 0, 11]], array([ 4.76845598,  2.08333293,  0.70510328])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 3], [0, 0, 11]], array([ 1.50164818,  1.51669488,  6.54295037])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 4], [0, 0, 11]], array([ 1.33502514,  1.95307758,  5.39815647])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 2], [0, 0, 12]], array([ 1.59411546,  1.41954374,  5.08341057])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 3], [0, 0, 12]], array([  1.64973157,   1.13725232,  15.35757222])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 1], [0, 1, 1], [0, 0, 13]], array([ 1.77629123,  1.30689407,  3.68486439])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 2], [0, 0, 13]], array([ 1.33710261,  1.93093785,  2.70812667])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 1], [0, 0, 14]], array([ 1.33962217,  1.92383681,  1.35675274])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 0], [0, 1, 0], [0, 0, 15]], array([  1.4999439 ,   1.49980941,  15.00074942])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 5], [0, 1, 5], [0, 0, 6]], array([  0.91927783,   2.83692801,  11.16653336])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 4], [0, 1, 6], [0, 0, 6]], array([  1.34534995,   2.06814378,  14.02872126])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 4], [0, 1, 5], [0, 0, 7]], array([ 0.90140307,  2.91158906,  9.42787565])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 6], [0, 0, 7]], array([ 0.88671867,  3.01718516,  7.50782089])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 7], [0, 0, 7]], array([ 0.88598235,  3.06857616,  5.16376248])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 4], [0, 1, 4], [0, 0, 8]], array([ 2.55925055,  0.90160428,  7.9826121 ])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 3], [0, 1, 5], [0, 0, 8]], array([ 0.88813747,  2.9812276 ,  7.37850402])]
[[[0, 0, 0], [1, 0, 0], [1, 1, 2], [0, 1, 6], [0, 0, 8]], array([ 1.45148882,  1.88825325,  9.91937592])]
